sample	reads_pre_filt	reads_post_filt	bases_pre_filt	bases_post_filt	adapter_trimmed_reads	adapter_trimmed_bases	host_reads	metagenomic_bases	host_percentage
B220_23_EFNP_FF	24202370	21952008	3654557870	3074256899	7310054	367431928	43211	3068957480	0.0018
B362F_22_EFNP_WH	54889790	48967966	8288358290	6394510443	25723386	1347115213	41288	6390021805	0.0008
B441_23_EFNP_RE	39376088	38121886	5945789288	5612503351	4367503	201357152	15991	5610176636	0.0004
B109_23_EFNP_N1	42220528	40698452	6375299728	5902530491	6846659	302885307	67385	5894314608	0.0016
B201_23_EFNP_BB	147969710	127215024	22343426210	16258368666	74868863	4190036559	58657	16252540762	0.0004
B39_23_RUNR	60743688	54126968	9172296888	7404104702	20123101	1156648998	18441	7401945106	0.0003
B120_23_EFNP_TC	37110478	35730808	5603682178	5239072104	4918601	222296877	25727	5235352832	0.0007
No_69_road_23_EFNP_N69	54229638	48769262	8188675338	6716466078	16940388	968718724	12754	6715065750	0.0002
B250F_22_EFNP_CV	329424658	296627520	49743123358	39449666146	139636245	7232863534	578130	39387732877	0.0018
B31_23_EFNP_N31	44893034	42767154	6778848134	6067728534	10420608	491853033	23214	6065021523	0.0005
B462_23_EFNP_CV	36987104	34364030	5585052704	4762893160	9913828	562597024	43715	4758315796	0.0012
B18F_22_EFNP_N1	63895986	57245520	9648293886	7667393560	25252767	1364975871	100497	7656445728	0.0016
B382_23_EFNP_CC	37729166	35963492	5697104066	5264355572	4890514	258166126	13104	5262596107	0.0003
B63_23_RUNR	16654558	16150312	2514838258	2374595676	1944886	87351811	11364	2373034938	0.0007
B357_23_EFNP_TE	18956804	17700154	2862477404	2582622765	2804632	146705255	8007	2581450182	0.0004
B461F_22_EFNP_BB	47900020	45922964	7232903020	6529913334	11428320	497346788	230786	6499619600	0.0048
B6_23_RUNR	75508178	61525522	11401734878	7878576196	37976047	2249160356	101657	7867748947	0.0013
B163F_22_EFNP_N1	73444740	68334336	11090155740	9557137793	20808841	1043961296	420526	9508931629	0.0057
B19_1_23_RUNR	101419650	89003328	15314367150	11811825290	42171951	2356557275	24771	11809270011	0.0002
B83F_22_EFNP_WH	104566334	89098946	15789516434	10892583221	66362065	3483741350	2086822	10669661475	0.0200
B534F_22_EFNP_CC	33331576	32050166	5033067976	4592160116	6498302	304543251	77385	4582445605	0.0023
B184F_22_EFNP_BB	55974086	51857132	8452086986	7317925879	13463951	744586039	60988	7310895477	0.0011
B369F_22_EFNP_CV	81364478	70983672	12286036178	9149137306	39235947	2184161461	120035	9136414892	0.0015
B218_23_EFNP_N96	161544648	140131080	24393241848	18641247441	67246503	3772063707	46902	18636422136	0.0003
B328_23_EFNP_CC	36800882	32459388	5556933182	4523041591	11277620	621585915	26922	4519761525	0.0007
B361_23_EFNP_N88	38349896	36021764	5790834296	5224537697	6346967	339414449	80536	5214420900	0.0021
B478_23_EFNP_NB	20209104	19264848	3051574704	2848177766	2074385	103956425	10001	2847049257	0.0005
B246F_22_EFNP_N1	69784380	61639170	10537441380	8086089250	30963154	1693817487	272642	8056304641	0.0039
B466F_22_EFNP_N1	55134198	50381822	8325263898	6776306062	21404935	1105391408	49033	6771027081	0.0009
FS11F_22_EFNP_N1	44173770	39941692	6670239270	5431000379	15864648	847079936	40709	5426208650	0.0009
B458_23_EFNP_N1	38729014	37047144	5848081114	5291997420	7691199	378200509	48994	5286556103	0.0013
B111F_22_EFNP_N1	40244262	38739182	6076883562	5542286886	8579620	377149942	98639	5529849659	0.0025
B19_2_23_RUNR	22744454	22314132	3434412554	3303312094	2004493	81154059	5077	3302701120	0.0002
B2_1_23_RUNR	38047278	36459924	5745138978	5337159969	5149916	250431809	3970	5336623580	0.0001
B29F_22_EFNP_BB	48542312	43370046	7329889112	5718345225	21388810	1131230025	840544	5622957342	0.0173
FS1_1_23_RUNR	42340012	38952562	6393341812	5499969947	11403932	573429819	7658	5499081068	0.0002
B523F_22_EFNP_DW	78553922	70043444	11861642222	9190891221	36890829	1881784268	102221	9179887885	0.0013
B407_23_EFNP_DW	18826768	17903526	2842841968	2619061122	2668294	132449626	6872	2618066193	0.0004
B11_23_RUNR	91609102	80863184	13832974402	10754731112	38342990	2092890572	24482	10752326061	0.0003
B33_23_RUNR	49551012	41267408	7482202812	5543652775	21780644	1155468442	74282	5534840696	0.0015
B363_23_EFNP_WH	45439652	41228830	6861387452	5717916552	12890817	750056483	23597	5715477603	0.0005